t,u,v,w
3.47,-0.0238,0.0196,-0.0292
3.48,-0.0238,0.0138,-0.0292
3.49,-0.0238,0.0138,-0.0292
3.5,-0.0238,0.008,-0.0292
3.51,-0.018,0.008,-0.0292
3.52,-0.0624,-0.0055,-0.0292
3.53,-0.0626,-0.0055,-0.0292
3.54,-0.0626,-0.019,-0.0292
3.55,-0.0629,-0.0186,-0.029
3.56,-0.0544,-0.018,-0.0292
3.57,-0.0544,-0.0182,-0.0292
3.58,-0.0544,-0.031,-0.0292
3.59,-0.0544,-0.031,-0.0292
3.6,-0.0458,-0.031,-0.0292
3.61,-0.0346,-0.031,-0.0292
3.62,-0.0234,-0.031,-0.0292
3.63,-0.0046,-0.031,-0.0292
3.64,-0.0046,-0.031,-0.0292
3.65,-0.005,-0.031,-0.0292
3.66,-0.0046,-0.0439,-0.0292
3.67,-0.0046,-0.0439,-0.0292
3.68,-0.0046,0.0031,-0.0292
3.69,-0.0046,0.0031,-0.0292
3.7,-0.0046,0.0031,-0.0292
3.71,-0.0046,0.0031,-0.0292
3.72,-0.0046,0.0501,-0.0292
3.73,-0.0046,0.0501,-0.0292
3.74,0.0143,0.0539,-0.0292
3.75,-0.0094,0.0539,-0.0292
3.76,-0.009,0.0539,-0.0292
3.77,-0.009,0.0539,-0.0292
3.78,-0.009,0.0539,-0.0292
3.79,-0.0094,0.0539,-0.0292
3.8,-0.0094,0.0539,-0.0292
3.81,-0.0094,0.0539,-0.0292
3.82,-0.0094,0.0539,-0.0292
3.83,-0.0094,0.0577,-0.0292
3.84,-0.0094,0.0682,-0.0292
3.85,-0.0094,0.0682,-0.0292
3.86,-0.0094,0.0788,-0.0332
3.87,-0.0094,0.0324,-0.01185
3.88,-0.0332,-0.014,-0.01185
3.89,-0.026,-0.014,-0.01165
3.9,-0.026,0.0202,-0.01165
3.91,-0.026,0.0202,-0.01165
3.92,-0.026,0.0545,-0.01165
3.93,-0.026,0.0381,-0.01165
3.94,-0.0187,0.0466,-0.01165
3.95,-0.0096,0.0466,-0.01165
3.96,-0.0096,0.0412,-0.012
3.97,-0.0096,0.0412,-0.01165
3.98,-0.0096,0.0412,-0.01165
3.99,-0.0096,0.0412,-0.012
4.0,-0.01,0.0412,-0.01165
4.01,-0.0096,0.0412,-0.01165
4.02,-0.0096,0.0412,-0.01165
4.03,-0.0004,0.0359,-0.01165
4.04,0.0018,0.0218,-0.01145
4.05,0.0041,0.0077,-0.01145
4.06,-0.0176,-0.0122,-0.01115
4.07,-0.0176,-0.0122,-0.01115
4.08,-0.018,-0.0122,-0.01115
4.09,-0.0176,-0.012,-0.01115
4.1,-0.018,-0.012,-0.01115
4.11,-0.0176,-0.0122,-0.01115
4.12,-0.0176,-0.0122,-0.01115
4.13,-0.0176,-0.0122,-0.01115
4.14,-0.0176,-0.0322,-0.01115
4.15,-0.0394,-0.0322,-0.01115
4.16,-0.0283,-0.0201,-0.01115
4.17,-0.0124,-0.0201,-0.01115
4.18,-0.0124,-0.0201,-0.01115
4.19,-0.0124,-0.0201,-0.01115
4.2,-0.0124,-0.0201,-0.01115
4.21,-0.012,-0.014,-0.01115
4.22,-0.0124,-0.008,-0.01115
4.23,-0.0124,-0.0095,-0.01115
4.24,-0.0124,-0.017,-0.01115
4.25,-0.012,-0.0238,-0.01115
4.26,-0.0124,-0.0238,-0.01115
4.27,0.0034,-0.0188,-0.01115
4.28,-0.0181,-0.0188,-0.01115
4.29,-0.0226,-0.0188,-0.01115
4.3,-0.0226,-0.0188,-0.01115
4.31,-0.0226,-0.0188,-0.01115
4.32,-0.0226,-0.0188,-0.011
4.33,-0.0226,-0.0188,-0.01115
4.34,-0.0226,-0.0138,-0.01115
4.35,-0.0226,-0.0039,-0.01115
4.36,-0.0226,-0.0256,-0.01115
4.37,-0.027,-0.0472,-0.01085
4.38,-0.0271,-0.0472,-0.00205
4.39,-0.0303,-0.0606,-0.00205
4.4,-0.039,-0.0606,-0.00205
4.41,-0.039,-0.0606,-0.00205
4.42,-0.039,-0.061,-0.00205
4.43,-0.0476,-0.0606,-0.00205
4.44,-0.0428,-0.0606,-0.00205
4.45,-0.0428,-0.0606,-0.00205
4.46,-0.0428,-0.061,-0.002
4.47,-0.043,-0.061,-0.00205
