Timezero,U,V,W,U_avg,V_avg,W_avg,U',V',W',U'',V'',W'',U'V',V'W',W'U',U''_Avg,V''_Avg,W''_Avg,U'V'_Avg,V'W'_Avg,W'U'_Avg,TKE
0.25,61.2975,58.0725,17.455,102.545,1.417,17.678,-41.248,56.655,-0.223,1701.356,3209.846,0.05,-2336.898,-12.634,9.198,2086.367,327.987,179.098,118.316,65.9,69.245,1296.726
0.275,56.91,75.45,8.525,102.648,1.42,17.678,-45.738,74.03,-9.153,2091.965,5480.441,83.777,-3385.984,-677.597,418.64,2086.889,328.021,179.105,118.352,65.904,69.291,1297.008
0.3,54.935,80.91,10.5075,102.751,1.422,17.678,-47.816,79.488,-7.171,2286.37,6318.342,51.416,-3800.798,-569.969,342.865,2087.401,328.053,179.111,118.387,65.908,69.336,1297.282
0.325,29.96,84.6725,45.305,102.854,1.425,17.678,-72.894,83.248,27.627,5313.535,6930.146,763.251,-6068.243,2299.879,-2013.843,2087.905,328.084,179.117,118.422,65.912,69.382,1297.553
0.35,12.2975,85.8425,90.8375,102.958,1.427,17.678,-90.66,84.415,73.16,8219.326,7125.977,5352.312,-7653.151,6175.796,-6632.677,2088.401,328.114,179.121,118.456,65.915,69.426,1297.818
0.375,14.8675,84.465,131.96,103.061,1.43,17.678,-88.194,83.035,114.282,7778.093,6894.811,13060.376,-7323.147,9489.406,-10078.93,2088.888,328.142,179.125,118.49,65.918,69.471,1298.077
0.4,70.145,77.905,157.54,103.164,1.432,17.678,-33.019,76.473,139.862,1090.254,5848.12,19561.379,-2525.062,10695.667,-4618.103,2089.366,328.169,179.128,118.523,65.921,69.515,1298.332
0.425,10.91,-53.4825,89.3575,103.267,1.434,17.678,-92.357,-54.916,71.68,8529.815,3015.822,5137.951,5071.923,-3936.387,-6620.104,2089.836,328.194,179.131,118.556,65.923,69.559,1298.58
0.45,10.21,-39.76,82.975,103.37,1.437,17.678,-93.16,-41.197,65.297,8678.786,1697.193,4263.698,3837.913,-2690.041,-6083.069,2090.297,328.218,179.132,118.589,65.926,69.603,1298.823
0.475,20.385,-36.4025,75.69,103.473,1.439,17.678,-83.088,-37.842,58.012,6903.616,1431.979,3365.392,3144.175,-2195.261,-4820.101,2090.75,328.24,179.133,118.621,65.928,69.646,1299.061
0.5,28.32,-37.9075,61.075,103.575,1.442,17.678,-75.255,-39.349,43.397,5663.315,1548.383,1883.3,2961.247,-1707.65,-3265.841,2091.194,328.261,179.133,118.652,65.929,69.689,1299.294
0.525,38.79,-29.9875,43.7225,103.678,1.444,17.678,-64.888,-31.431,26.044,4210.453,987.939,678.316,2039.527,-818.618,-1689.976,2091.629,328.281,179.132,118.683,65.93,69.732,1299.521
0.55,47.915,1.435,36.4325,103.781,1.446,17.678,-55.866,-0.011,18.754,3121.01,0.0,351.731,0.615,-0.206,-1047.739,2092.056,328.299,179.131,118.713,65.932,69.774,1299.743
0.575,56.3925,30.4425,28.335,103.884,1.449,17.678,-47.492,28.993,10.657,2255.443,840.623,113.572,-1376.945,308.984,-506.117,2092.475,328.316,179.128,118.743,65.932,69.816,1299.959
0.6,65.735,44.3425,19.33,103.987,1.451,17.678,-38.252,42.892,1.652,1463.216,1839.681,2.729,-1640.686,70.857,-63.192,2092.884,328.331,179.125,118.773,65.933,69.858,1300.17
0.625,71.1775,35.14,14.7475,104.089,1.453,17.678,-32.912,33.687,-2.931,1083.167,1134.814,8.588,-1108.69,-98.72,96.447,2093.285,328.345,179.122,118.802,65.933,69.9,1300.376
0.65,78.0075,3.9975,12.37,104.192,1.456,17.678,-26.184,2.542,-5.308,685.628,6.459,28.175,-66.548,-13.49,138.987,2093.678,328.358,179.117,118.83,65.933,69.941,1300.577
0.675,87.32,-23.8625,12.28,104.295,1.458,17.678,-16.975,-25.32,-5.398,288.151,641.128,29.138,429.815,136.68,91.631,2094.062,328.369,179.112,118.858,65.932,69.982,1300.772
0.7,101.11,-56.475,14.4,104.397,1.461,17.678,-3.287,-57.936,-3.278,10.804,3356.58,10.745,190.436,189.914,10.775,2094.437,328.378,179.106,118.886,65.932,70.023,1300.961
0.725,117.9525,-83.4625,15.965,104.5,1.463,17.678,13.453,-84.925,-1.713,180.97,7212.341,2.934,-1142.46,145.477,-23.044,2094.804,328.387,179.099,118.913,65.931,70.063,1301.145
0.75,139.5325,-96.91,20.8475,104.602,1.465,17.678,34.93,-98.375,3.169,1220.14,9677.641,10.046,-3436.288,-311.8,110.712,2095.162,328.393,179.091,118.939,65.929,70.103,1301.323
