t,u,v,w
3.32,0.4223,-0.0491,-0.0122
3.33,0.419,-0.0256,-0.0122
3.34,0.419,-0.0256,-0.0122
3.35,0.419,-0.0256,-0.0122
3.36,0.419,-0.0256,-0.0122
3.37,0.419,-0.0022,-0.0122
3.38,0.419,0.0505,-0.0122
3.39,0.4158,0.0318,-0.0122
3.4,0.508,0.0318,-0.0122
3.41,0.508,0.0318,-0.0122
3.42,0.6003,0.0318,-0.0122
3.43,0.5376,0.0318,-0.0122
3.44,0.5376,0.013,-0.0215
3.45,0.4749,-0.0047,-0.0334
3.46,0.4391,-0.0096,-0.0252
3.47,0.4033,-0.0145,-0.0252
3.48,0.4033,0.0196,-0.0252
3.49,0.4033,0.0196,-0.0252
3.5,0.4033,0.0538,-0.0252
3.51,0.4839,0.0123,-0.0252
3.52,0.5327,0.008,-0.0252
3.53,0.5462,0.008,-0.0252
3.54,0.5462,0.0037,-0.0252
3.55,0.5598,-0.0114,-0.025
3.56,0.5574,-0.019,-0.0252
3.57,0.5574,-0.0266,-0.0252
3.58,0.5574,-0.0182,-0.0252
3.59,0.5574,-0.0182,-0.0252
3.6,0.5551,-0.0182,-0.0252
3.61,0.507,-0.0182,-0.0252
3.62,0.459,-0.0182,-0.0252
3.63,0.3782,-0.0182,-0.0252
3.64,0.3782,-0.0182,-0.0252
3.65,0.378,-0.0182,-0.0252
3.66,0.3782,-0.0099,-0.0252
3.67,0.3782,-0.0788,-0.0252
3.68,0.3782,-0.0439,-0.0252
3.69,0.3782,-0.0439,-0.0252
3.7,0.3782,-0.0439,-0.0252
3.71,0.3782,-0.0439,-0.0252
3.72,0.3782,-0.009,-0.0252
3.73,0.3782,0.0214,-0.0252
3.74,0.2974,0.0501,-0.0252
3.75,0.3546,0.0501,-0.0252
3.76,0.355,0.0501,-0.0252
3.77,0.355,0.0501,-0.0252
3.78,0.355,0.0501,-0.0252
3.79,0.3546,0.0501,-0.0252
3.8,0.3546,0.0501,-0.0252
3.81,0.3546,0.0501,-0.0252
3.82,0.3546,0.0501,-0.0252
3.83,0.3546,0.0787,-0.0252
3.84,0.3546,0.0577,-0.0252
3.85,0.3546,0.0577,-0.0252
3.86,0.3546,0.0367,-0.017
3.87,0.3546,0.0578,-0.0297
3.88,0.4117,0.0788,-0.0332
3.89,0.4222,0.0324,-0.01185
3.9,0.4222,-0.014,-0.01185
3.91,0.4222,-0.014,-0.01185
3.92,0.4222,0.0156,-0.01185
3.93,0.4222,0.0535,-0.01185
3.94,0.4328,0.0545,-0.01185
3.95,0.4246,0.0381,-0.01185
3.96,0.4246,0.0466,-0.012
3.97,0.4246,0.0466,-0.01185
3.98,0.4246,0.0466,-0.01185
3.99,0.4246,0.0466,-0.012
4,0.425,0.0466,-0.01185
4.01,0.4246,0.0466,-0.01185
4.02,0.4246,0.0466,-0.01185
4.03,0.4164,0.0552,-0.01185
4.04,0.4151,0.0456,0.0095
4.05,0.4138,0.0359,0.0041
4.06,0.4197,0.0077,-0.01145
4.07,0.4197,0.0077,-0.01145
4.08,0.42,0.0077,-0.01145
4.09,0.4197,0.008,-0.01145
4.1,0.42,0.008,-0.01145
4.11,0.4197,0.0077,-0.01145
4.12,0.4197,0.0077,-0.01145
4.13,0.4197,0.0077,-0.01145
4.14,0.4197,-0.0205,-0.01145
4.15,0.4256,-0.0472,-0.01145
4.16,0.4147,-0.0322,-0.01145
4.17,0.3718,-0.0322,-0.01145
4.18,0.3718,-0.0322,-0.01145
4.19,0.3718,-0.0322,-0.01145
4.2,0.3718,-0.0322,-0.01145
4.21,0.372,-0.025,-0.01145
4.22,0.3718,-0.0172,-0.01145
4.23,0.3718,-0.007,-0.01145
4.24,0.3718,-0.008,-0.01145
4.25,0.372,-0.0095,-0.01145
4.26,0.3718,-0.0144,-0.01145
4.27,0.329,-0.0238,-0.01145
4.28,0.387,-0.0238,-0.01145
4.29,0.4056,-0.0238,-0.01145
4.3,0.4056,-0.0238,-0.01145
4.31,0.4056,-0.0238,-0.01145
4.32,0.4056,-0.0238,-0.011
4.33,0.4056,-0.0238,-0.01145
4.34,0.4056,-0.0332,-0.01145
4.35,0.4056,-0.0237,-0.01145
4.36,0.4056,-0.0138,-0.01145
4.37,0.4242,-0.0039,-0.027
4.38,0.3568,-0.0454,-0.01085
4.39,0.3467,-0.0472,-0.01085
4.4,0.3784,-0.0472,-0.01085
4.41,0.3784,-0.0472,-0.01085
4.42,0.3784,-0.047,-0.01085
4.43,0.4101,-0.0472,-0.01085
4.44,0.4081,-0.0472,-0.01085
4.45,0.4081,-0.0472,-0.01085
4.46,0.4081,-0.047,-0.011
4.47,0.408,-0.047,-0.01085
4.48,0.4081,-0.047,-0.01085
4.49,0.4081,-0.0472,-0.01085
4.5,0.4081,-0.049,0.0053
4.51,0.4081,-0.0741,0.00675
4.52,0.4081,-0.0741,0.00675
4.53,0.408,-0.0741,0.00675
4.54,0.408,-0.0741,0.00675
4.55,0.4081,-0.0741,0.00675
4.56,0.4081,-0.0741,0.00675
4.57,0.4061,-0.0741,0.00675
4.58,0.323,-0.0741,0.00675
4.59,0.323,-0.0741,0.00675
4.6,0.323,-0.0993,0.00675
4.61,0.323,-0.1381,0.00675
4.62,0.323,-0.0667,0.00675
4.63,0.323,0.0047,0.00675
4.64,0.323,0.01,0.00675
4.65,0.323,0.01,0.00675
4.66,0.323,0.01,0.00675
4.67,0.323,0.01,0.00675
4.68,0.323,0.01,0.00675
4.69,0.323,0.01,0.00675
4.7,0.323,0.01,0.00675
4.71,0.323,0.01,0.00675
4.72,0.323,0.01,0.0082
4.73,0.24,0.0152,0.0266
4.74,0.3164,0.0036,0.0266
4.75,0.3164,0.0677,0.0266
4.76,0.3928,0.0194,0.0266
4.77,0.3149,-0.0289,0.0266
4.78,0.237,-0.0516,0.0266
4.79,0.2954,-0.0516,0.0266
4.8,0.3538,-0.0516,0.0266
4.81,0.3895,-0.0742,0.0266
4.82,0.4252,-0.0418,0.0266
4.83,0.3798,-0.0094,0.0266
4.84,0.3798,-0.0024,0.0266
4.85,0.3975,0.0046,0.0266
4.86,0.4325,0.0007,0.0266
4.87,0.3792,-0.0288,0.0266
4.88,0.3792,-0.0288,0.0266
4.89,0.3792,-0.0584,0.0266
4.9,0.3792,0.0265,0.0266
4.91,0.3792,0.0142,0.0266
4.92,0.3792,0.0142,0.0266
4.93,0.3792,0.0142,0.0266
4.94,0.3792,0.0142,0.0266
4.95,0.3792,0.0019,0.0266
4.96,0.3259,-0.0004,0.0266
4.97,0.369,-0.0027,0.0266
4.98,0.369,-0.0244,0.0266
4.99,0.369,-0.0244,0.0266
5,0.369,-0.0244,0.0266
5.01,0.369,-0.0244,0.0266
5.02,0.4122,-0.0244,0.0266
5.03,0.3272,-0.0244,0.027
5.04,0.327,-0.024,0.0266
5.05,0.3272,-0.0244,0.0266
5.06,0.3272,-0.0462,0.0266
5.07,0.3272,-0.047,0.0266
5.08,0.3272,-0.047,0.0266
5.09,0.3272,-0.047,0.0266
5.1,0.3272,-0.047,0.0266
5.11,0.3272,-0.047,0.027
5.12,0.3272,-0.0478,0.0266
5.13,0.3272,-0.0044,0.0266
5.14,0.3272,-0.0514,0.0266
5.15,0.3272,-0.0514,0.0266
5.16,0.3272,-0.0985,0.0266
5.17,0.3272,-0.0378,0.0266
5.18,0.327,-0.038,0.0266
5.19,0.3272,-0.0378,0.0266
5.2,0.3272,-0.0378,0.0266
5.21,0.3272,-0.0378,0.0266
5.22,0.3272,0.023,0.0266
5.23,0.2423,0.0069,0.0266
5.24,0.2776,-0.0116,0.0266
5.25,0.2776,-0.0116,0.0266
5.26,0.2776,-0.0116,0.0266
5.27,0.2776,-0.0116,0.0266
5.28,0.2776,-0.0116,0.0266
5.29,0.2776,-0.0116,0.0266
5.3,0.2776,-0.0116,0.0266
5.31,0.2776,-0.0116,0.0266
5.32,0.2776,-0.0116,0.0266
5.33,0.2776,-0.0116,0.0266
5.34,0.2776,-0.0116,0.0266
5.35,0.2776,-0.0116,0.0266
5.36,0.2776,-0.0116,0.0266
5.37,0.2776,-0.0116,0.0266
5.38,0.2776,-0.0116,0.0266
5.39,0.3128,-0.0116,0.0266
5.4,0.3251,-0.0116,0.0266
5.41,0.3251,-0.03,0.0266
5.42,0.3251,-0.0368,0.0266
5.43,0.3251,-0.0368,0.027
5.44,0.3251,-0.0437,0.0266
5.45,0.3251,-0.022,0.0266
5.46,0.3251,-0.022,0.0266
5.47,0.3251,-0.001,0.0266
5.48,0.3251,0.0418,0.0266
5.49,0.3251,0.0031,0.0266
5.5,0.3251,-0.0356,0.0266
5.51,0.3251,-0.0137,0.0266
5.52,0.3251,0.0082,0.0266
5.53,0.3251,-0.0038,0.0266
5.54,0.3251,-0.0038,0.0266
5.55,0.3374,-0.0159,0.0266
5.56,0.3731,-0.012,0.027
5.57,0.391,-0.0085,0.0266
5.58,0.391,-0.0085,0.0266
5.59,0.4088,-0.0011,0.0266
5.6,0.4636,0.0096,0.0266
5.61,0.4636,0.0096,0.0266
